;Inv.Nr.;Datierung_x;Künstler_x;Datierung_y;Künstler_y
0;G-1990-104; - ;;;
1;G-1990-171; - ;;;
2;G-1990-193; - ;;-;-
3;G-1991-018; - ;unbekannter Künstler;;
4;G-1991-020; - ;Döring, Dr.;;
5;G-1991-156; - ;Walker, B. W.;-;-
6;G-1991-170; - ;unbekannter Künstler;-;-
7;G-1991-178; - ;;;
8;G-1991-179; - ;;;
9;G-1991-180; - ;;;
10;G-1991-188; - ;;;
11;G-1991-189; - ;;;
12;G-1991-191; - ;;;
13;G-1991-196; - ;;;
14;G-1991-197; - ;;-;-
15;G-1991-201; - ;;;
16;G-1991-204; - ;;;
17;G-1991-205; - ;;-;-
18;G-1991-207; - ;;;
19;G-1991-209; - ;;-;-
20;G-1991-210; - ;;-;-
21;G-1991-220; - ;;;
22;G-1991-225; - ;;;
23;G-1991-226; - ;;-;-
24;G-1991-230; - ;;-;-
25;G-1991-234; - ;;-;-
26;G-1991-235; - ;;;
27;G-1991-236; - ;;;
28;G-1991-245; - ;;;
29;G-1991-248; - ;;;
30;G-1991-250; - ;;;
31;G-1991-252; - ;;;
32;G-1991-253; - ;;;
33;G-1991-254; - ;;;
34;G-1991-255; - ;Fürst, Julius (1861-1938);-;-
35;G-1991-258; - ;;;
36;G-1991-267; - ;;-;-
37;G-1991-272; - ;;;
38;G-1991-273; - ;;;
39;G-1991-274; - ;;;
40;G-1991-275; - ;;;
41;G-1991-277; - ;;;
42;G-1991-278; - ;;;
43;G-1991-280; - ;;;
44;G-1991-282; - ;;;
45;G-1991-285; - ;;;
46;G-1991-287; - ;;;
47;G-1991-291; - ;;-;-
48;G-1991-292; - ;;;
49;G-1991-294; - ;;;
50;G-1991-295; - ;;;
51;G-1991-296; - ;;;
52;G-1991-297; - ;;;
53;G-1991-299; - ;;;
54;G-1991-302; - ;;;
55;G-1991-303; - ;;;
56;G-1991-304; - ;;;
57;G-1991-305; - ;;;
58;G-1991-306; - ;;;
59;G-1991-308; - ;;;
60;G-1991-313; - ;;;
61;G-1991-315; - ;;;
62;G-1991-318; - ;;-;-
63;G-1991-319; - ;;-;-
64;G-1991-322; - ;;;
65;G-1991-324; - ;;;
66;G-1991-340; - ;;;
67;G-1991-342; - ;;-;-
68;G-1991-346; - ;;;
69;G-1991-350; - ;;;
70;G-1991-351; - ;;;
71;G-1991-353; - ;;;
72;G-1991-355; - ;;;
73;G-1991-362; - ;;;
74;G-1991-366; - ;;-;-
75;G-1991-368; - ;;;
76;G-1991-372; - ;;;
77;G-1991-378; - ;;;
78;G-1991-382; - ;;;
79;G-1991-384; - ;;;
80;G-1991-385; - ;;;
81;G-1991-394; - ;;;
82;G-1991-399; - ;;;
83;G-1991-400; - ;;-;-
84;G-1991-401; - ;;-;-
85;G-1991-406; - ;;;
86;G-1991-411; - ;;;
87;G-1991-412; - ;;;
88;G-1991-416; - ;;;
89;G-1991-420; - ;;;
90;G-1991-424; - ;;;
91;G-1991-425; - ;;;
92;G-1991-442; - ;unbekannter Künstler;-;-
93;G-1991-448; - ;;;
94;G-1991-458; - ;;;
95;G-1991-466; - ;;;
96;G-1991-472; - ;;;
97;G-1991-487; - ;;;
98;G-1991-488; - ;;;
99;G-1991-494; - ;;;
100;G-1991-496; - ;;;
101;G-1991-497; - ;;;
102;G-1991-498; - ;;;
103;G-1991-510; - ;;;
104;G-1991-511; - ;;;
105;G-1991-518; - ;;-;-
106;G-1991-524; - ;;;
107;G-1991-529; - ;;-;-
108;G-1991-531; - ;;;
109;G-1991-540; - ;;;
110;G-1991-542; - ;;;
111;G-1991-545; - ;;-;-
112;G-1991-558; - ;;;
113;G-1991-560; - ;;;
114;G-1991-567; - ;;-;-
115;G-1991-569; - ;;;
116;G-1991-570; - ;;;
117;G-1991-572; - ;;;
118;G-1991-579; - ;;;
119;G-1991-581; - ;;;
120;G-1991-582; - ;;;
121;G-1991-583; - ;;;
122;G-1991-585; - ;;;
123;G-1991-590; - ;;;
124;G-1991-596; - ;;;
125;G-1991-597; - ;;;
126;G-1991-600; - ;;;
127;G-1991-605; - ;;-;-
128;G-1991-606; - ;;;
129;G-1991-607; - ;;;
130;G-1991-612; - ;;;
131;G-1991-615; - ;;;
132;G-1991-617; - ;;;
133;G-1991-620; - ;;;
134;G-1991-628; - ;;;
135;G-1991-630; - ;;;
136;G-1991-634; - ;;;
137;G-1990-146-002; - ;;;
138;G-1991-182-001; - ;;;
139;G-1991-462-001; - ;;;
140;G-1991-589-001;1840 - 1862;unbekannter Künstler, Witmaack?;;
141;G-1991-589-002;1840 - 1862;Mencke, Dr., vermutlich;-;-
142;G-1991-589-003;1840 - 1862;"Mencke, Dr., Blatt G-1991-589 signiert mit ""Dr. Mencke gec.""";;
143;G-1991-589-004;1840 - 1862;Mencke, Dr., Künstler oder behandelnder Arzt?;-;-
144;G-1991-573;1841;Dr. Königshöfer, Fr;-;-
145;G-1991-032;1843;Lesch, Jos.;;
146;G-1991-281;1845;Esmarch, Friedrich von (1823-1908);-;-
147;G-1991-374;1846;;-;-
148;G-1990-101;1852;Hartmann,;-;-
149;G-1991-099;1852;Mencke, Dr.;-;-
150;G-1991-556;1852;;-;-
151;G-1991-561;1852;Esmarch, Friedrich von (1823-1908);-;-
